0	1.0 1.0
0 6 16	0.11305070656691604 0.475177304964539
0 6 16 15	0.11972633979475485 0.1773049645390071
0 6 28	0.015280135823429542 0.03546099290780142
0 6 30 16	0.06278713629402756 0.3546099290780142
0 6 31	0.2 0.8297872340425532
0 6 31 30	0.11027027027027027 0.7092198581560284
0 6 35 14	0.1673913043478261 0.6595744680851063
0 6 37 3	0.053304904051172705 0.11347517730496454
0 6 41	0.04978813559322034 0.22695035460992907
0 6 41 35	0.11173184357541899 0.2695035460992908
0 7 5	0.02 0.0070921985815602835
0 7 6 33	0.4854368932038835 0.1702127659574468
0 7 16 13	0.3146314631463146 0.3900709219858156
0 7 31 13	0.3109004739336493 0.375886524822695
0 7 34	0.1111111111111111 0.09929078014184398
0 7 37	0.10309278350515463 0.05673758865248227
0 7 43 16	0.16887417218543047 0.1702127659574468
0 8 8	0.19170984455958548 0.3120567375886525
0 8 8 42	0.1648 0.14893617021276595
0 8 12 14	0.23492063492063492 0.45390070921985815
0 8 12 39	0.06046511627906977 0.19858156028368795
0 8 14	0.04330708661417323 0.07092198581560284
0 8 20 32	0.07407407407407407 0.014184397163120567
0 8 27	0.08465608465608465 0.10638297872340426
0 8 31	0.016198704103671708 0.10638297872340426
0 8 33	0.4976190476190476 0.5106382978723404
0 9 0	0.4016641452344932 0.9078014184397163
0 9 0 1	0.31537674735765425 0.6879432624113475
0 9 1	0.008050089445438283 0.06382978723404255
0 9 1 0	0.4062031015507754 0.7943262411347518
0 9 1 34	0.17525510204081632 0.7446808510638298
0 9 2 14	0.27506297229219145 0.7092198581560284
0 9 3 31	0.0936026936026936 0.425531914893617
0 9 3 41	0.09628647214854111 0.6453900709219859
0 9 4 14	0.3080110497237569 0.5460992907801419
0 9 6 33	0.2218284904323175 0.425531914893617
0 9 9 35	0.08549222797927461 0.05673758865248227
0 9 10 34	0.1482205709816191 0.45390070921985815
0 9 11 12	0.10548780487804878 0.3333333333333333
0 9 16 14	0.035580154180668115 0.3404255319148936
0 9 16 18	0.25851900393184796 0.6099290780141844
0 9 16 38	0.07914110429447853 0.4397163120567376
0 9 19	0.046875 0.1276595744680851
0 9 28 16	0.10157618213660245 0.524822695035461
0 9 30 9	0.03806672369546621 0.3191489361702128
0 9 31 3	0.10754912099276112 0.3900709219858156
0 9 34	0.2923997185080929 0.9290780141843972
0 9 34 1	0.3361156351791531 0.8794326241134752
0 9 43	0.0069767441860465115 0.02127659574468085
0 9 44	0.05417607223476298 0.09929078014184398
0 9 44 42	0.13119533527696792 0.2198581560283688
0 9 45 16	0.1367851622874807 0.3546099290780142
0 10 1	0.2975609756097561 0.24822695035460993
0 10 1 0	0.05 0.028368794326241134
0 10 5	0.290625 0.3191489361702128
0 10 11	0.10975609756097561 0.04964539007092199
0 10 31 8	0.018803418803418803 0.06382978723404255
0 10 31 14	0.30049706281066424 0.6312056737588653
0 10 32 0	0.4043186895011169 0.7730496453900709
0 10 32 34	0.14331210191082802 0.6382978723404256
0 10 33 13	0.22962962962962963 0.2553191489361702
0 10 35	0.35778175313059035 0.5531914893617021
0 10 35 35	0.1807909604519774 0.18439716312056736
0 11	0.06329113924050633 0.05673758865248227
0 11 4 31	0.016290726817042606 0.07092198581560284
0 11 5	0.12014134275618374 0.1347517730496454
0 11 6 41	0.1671659676452966 0.5673758865248227
0 11 10 11	0.11320754716981132 0.028368794326241134
0 11 11	0.22572178477690288 0.3475177304964539
0 11 11 36	0.16451292246520874 0.20567375886524822
0 11 12 0	0.3679060665362035 0.46808510638297873
0 11 19 0	0.5087719298245614 0.1773049645390071
0 11 25 0	0.3546712802768166 0.3262411347517731
0 11 32 34	0.12396694214876033 0.2553191489361702
0 11 34 0	0.5163934426229508 0.41134751773049644
0 11 36	0.49516908212560384 0.524822695035461
0 11 39 31	0.08417508417508418 0.15602836879432624
0 11 40 1	0.3161290322580645 0.1773049645390071
0 11 41 41	0.17587301587301588 0.6170212765957447
0 12 3 31	0.060240963855421686 0.1276595744680851
0 12 8 14	0.1761194029850746 0.2553191489361702
0 12 9	0.050793650793650794 0.07092198581560284
0 12 12	0.1984126984126984 0.2978723404255319
0 12 28 14	0.19597989949748743 0.2907801418439716
0 12 32 11	0.2553191489361702 0.2695035460992908
0 12 34	0.08860759493670886 0.09219858156028368
0 12 34 35	0.15444015444015444 0.1276595744680851
0 12 37	0.4369747899159664 0.4326241134751773
0 13 1 18	0.18546365914786966 0.15602836879432624
0 13 1 43	0.21098265895953758 0.12056737588652482
0 13 3	0.15873015873015872 0.19148936170212766
0 13 8 35	0.10105580693815988 0.19148936170212766
0 13 9 16	0.0980211688909342 0.48226950354609927
0 13 9 41	0.16630387461906834 0.6595744680851063
0 13 13	0.2441860465116279 0.3333333333333333
0 13 16 0	0.3648736228127025 0.851063829787234
0 13 20	0.24285714285714285 0.1347517730496454
0 13 28	0.0463768115942029 0.06382978723404255
0 13 30 45	0.410958904109589 0.3049645390070922
0 13 34 41	0.11995386389850057 0.41843971631205673
0 13 38	0.29404761904761906 0.7092198581560284
0 13 38 30	0.17468944099378883 0.48936170212765956
0 13 39 26	0.043547110055423596 0.16312056737588654
0 13 39 34	0.14357459379615953 0.6950354609929078
0 13 45	0.3068181818181818 0.15602836879432624
0 14 6 34	0.0771484375 0.20567375886524822
0 14 11 14	0.1551094890510949 0.28368794326241137
0 14 13	0.1741424802110818 0.2553191489361702
0 14 14	0.09523809523809523 0.16312056737588654
0 14 16	0.09758203799654577 0.425531914893617
0 14 18 0	0.2722063037249284 0.48226950354609927
0 14 19 41	0.09213759213759214 0.19148936170212766
0 14 25 8	0.04230769230769231 0.10638297872340426
0 14 25 16	0.030624263839811542 0.23404255319148937
0 14 33 31	0.004204204204204204 0.03546099290780142
0 14 37 14	0.19667170953101362 0.2695035460992908
0 14 37 31	0.048440065681444995 0.24113475177304963
0 14 38	0.025951557093425604 0.09929078014184398
0 14 39	0.19642857142857142 0.6879432624113475
0 15 6 41	0.14698795180722893 0.2695035460992908
0 15 10 40	0.23404255319148937 0.03546099290780142
0 15 15	0.18085106382978725 0.09929078014184398
0 15 34 34	0.1329243353783231 0.2765957446808511
0 15 38 39	0.13274336283185842 0.0851063829787234
0 15 40	0.46938775510204084 0.20567375886524822
0 16 0 45	0.4031914893617021 0.48936170212765956
0 16 1 16	0.09227722772277228 0.5531914893617021
0 16 1 41	0.11699357750390557 0.7588652482269503
0 16 2 34	0.14967897271268057 0.5602836879432624
0 16 3 12	0.11665495432185524 0.3829787234042553
0 16 5 14	0.3168114460909555 0.851063829787234
0 16 7 13	0.19322033898305085 0.3475177304964539
0 16 7 33	0.33226837060702874 0.48936170212765956
0 16 10 16	0.05943331029716655 0.28368794326241137
0 16 11	0.006097560975609756 0.03546099290780142
0 16 12 0	0.027906976744186046 0.15602836879432624
0 16 12 8	0.09207589285714286 0.3617021276595745
0 16 12 13	0.18174375767498976 0.5531914893617021
0 16 12 27	0.09188464118041582 0.19858156028368795
0 16 14	0.27793533749290983 0.8581560283687943
0 16 15 39	0.05993690851735016 0.16312056737588654
0 16 16 11	0.1520049099836334 0.6453900709219859
0 16 18 0	0.3097713097713098 0.475177304964539
0 16 19 38	0.0921544209215442 0.24822695035460993
0 16 20 34	0.16689098250336473 0.524822695035461
0 16 25 43	0.1970260223048327 0.3120567375886525
0 16 26 14	0.2756756756756757 0.6666666666666666
0 16 27 0	0.3853965183752418 0.851063829787234
0 16 31	0.0333555703802535 0.2198581560283688
0 16 31 19	0.048830111902339775 0.12056737588652482
0 16 34 18	0.16831395348837208 0.7021276595744681
0 16 37 18	0.17343173431734318 0.3120567375886525
0 16 38 25	0.08610271903323263 0.15602836879432624
0 16 41	0.26456599286563615 0.9645390070921985
0 16 41 5	0.121107447532318 0.8014184397163121
0 16 41 30	0.1945449485109936 0.8014184397163121
0 17 1	0.11160714285714286 0.1773049645390071
0 17 10 1	0.26066350710900477 0.22695035460992907
0 17 11	0.12457912457912458 0.19148936170212766
0 17 16 31	0.11543134872417983 0.2765957446808511
0 17 18	0.046875 0.0425531914893617
0 17 30	0.12260536398467432 0.1347517730496454
0 17 31 41	0.133630289532294 0.1773049645390071
0 17 42	0.45660377358490567 0.425531914893617
0 17 42 17	0.012658227848101266 0.03546099290780142
0 18 4 1	0.22071307300509338 0.3617021276595745
0 18 5 38	0.13048368953880765 0.3475177304964539
0 18 6 14	0.009781790820165538 0.028368794326241134
0 18 12 14	0.3273905996758509 0.524822695035461
0 18 14 25	0.044153323629306164 0.2695035460992908
0 18 15 14	0.05555555555555555 0.14184397163120568
0 18 26 3	0.09377738825591586 0.20567375886524822
0 18 32 41	0.12696747114375656 0.49645390070921985
0 18 38	0.08045977011494253 0.14893617021276595
0 18 39 34	0.1350034794711204 0.5815602836879432
0 18 43	0.45532831001076424 0.8014184397163121
0 18 43 26	0.0924279170035031 0.425531914893617
0 18 45	0.23622047244094488 0.15602836879432624
0 19 6 33	0.22477064220183487 0.19858156028368795
0 19 11 32	0.10232558139534884 0.07092198581560284
0 19 18 14	0.2345679012345679 0.28368794326241137
0 19 19 1	0.2962962962962963 0.2695035460992908
0 19 34	0.11822660098522167 0.12056737588652482
0 19 44	0.5628415300546448 0.49645390070921985
0 20 13	0.21299638989169675 0.23404255319148937
0 20 14 30	0.05472636815920398 0.09929078014184398
0 20 20	0.35333333333333333 0.2978723404255319
0 20 28	0.08187134502923976 0.06382978723404255
0 20 28 5	0.11314984709480122 0.14893617021276595
0 20 45	0.7336065573770492 0.5815602836879432
0 25 0	0.5826771653543307 1.0
0 25 0 1	0.3394495412844037 0.6666666666666666
0 25 0 30	0.19787894464562855 0.6028368794326241
0 25 1 0	0.4116120661693156 0.8368794326241135
0 25 3 14	0.212637557685481 0.6950354609929078
0 25 7 1	0.30921923246581384 0.6382978723404256
0 25 8 41	0.13653413353338334 0.6879432624113475
0 25 10 37	0.0652400835073069 0.2695035460992908
0 25 13 41	0.12379524523452559 0.6453900709219859
0 25 14 39	0.024277940560904144 0.41843971631205673
0 25 14 41	0.02537266095781795 0.48226950354609927
0 25 14 43	0.1326419213973799 0.524822695035461
0 25 14 45	0.37911392405063293 0.5460992907801419
0 25 16 3	0.10134867116223721 0.48226950354609927
0 25 25 42	0.12735849056603774 0.2907801418439716
0 25 26 0	0.39838570193139233 0.8439716312056738
0 25 26 34	0.15372643956424 0.7659574468085106
0 25 27 14	0.2395785616124599 0.7588652482269503
0 25 28 14	0.22202166064981949 0.6524822695035462
0 25 28 31	0.1042995839112344 0.5602836879432624
0 25 29 14	0.32099827882960413 0.574468085106383
0 25 30 19	0.16618746405980447 0.3475177304964539
0 25 31 18	0.2251690067602704 0.6099290780141844
0 25 34	0.18053645116918846 0.8439716312056738
0 25 34 35	0.15343659244917715 0.49645390070921985
0 25 39 38	0.0555008210180624 0.3262411347517731
0 25 40 25	0.23140495867768596 0.12056737588652482
0 25 41 38	0.10180712113079263 0.6737588652482269
0 25 41 39	0.02984059097978227 0.3404255319148936
0 25 46 41	0.16532258064516128 0.2624113475177305
0 26	0.10707070707070707 0.2765957446808511
0 26 0	0.008016032064128256 0.02127659574468085
0 26 0 34	0.17011834319526628 0.2978723404255319
0 26 1	0.46853146853146854 0.9929078014184397
0 26 1 30	0.22284345047923323 0.6453900709219859
0 26 3 3	0.13089005235602094 0.48226950354609927
0 26 3 8	0.24129930394431554 0.28368794326241137
0 26 4 27	0.16089613034623218 0.14893617021276595
0 26 5	0.07722007722007722 0.22695035460992907
0 26 5 1	0.21430682825894176 0.723404255319149
0 26 5 11	0.18348082595870208 0.5673758865248227
0 26 11	0.10300429184549356 0.1773049645390071
0 26 12 9	0.05697445972495088 0.1773049645390071
0 26 13 3	0.12072649572649573 0.2765957446808511
0 26 14 41	0.1027900146842878 0.5460992907801419
0 26 16 41	0.13784212614042046 0.900709219858156
0 26 25 0	0.3553379658875553 0.8156028368794326
0 26 30	0.2124856815578465 0.7021276595744681
0 26 32 19	0.09276018099547512 0.1702127659574468
0 26 34 12	0.12848402447314752 0.5177304964539007
0 26 35	0.1083086053412463 0.19858156028368795
0 26 35 1	0.3131179960448253 0.6737588652482269
0 26 35 30	0.23659305993690852 0.6808510638297872
0 26 36	0.051666666666666666 0.09929078014184398
0 26 38 8	0.07451564828614009 0.14184397163120568
0 26 41 14	0.22758620689655173 0.7446808510638298
0 26 42	0.11255411255411256 0.11347517730496454
0 26 43 45	0.45588235294117646 0.2907801418439716
0 28 3	0.33459119496855344 0.5886524822695035
0 28 9 31	0.10013531799729364 0.3617021276595745
0 28 12 41	0.2006079027355623 0.4397163120567376
0 28 14	0.00663716814159292 0.02127659574468085
0 28 16 44	0.18404907975460122 0.1276595744680851
0 28 27	0.06521739130434782 0.0425531914893617
0 28 28	0.08695652173913043 0.2553191489361702
0 28 34 31	0.04372759856630824 0.2127659574468085
0 28 35 8	0.1742857142857143 0.1347517730496454
0 28 38	0.1141552511415525 0.1276595744680851
0 28 39 1	0.049586776859504134 0.09929078014184398
0 28 43	0.18 0.18439716312056736
0 28 45	0.1702127659574468 0.05673758865248227
0 30	0.20175438596491227 0.2978723404255319
0 30 0	0.014563106796116505 0.014184397163120567
0 30 1	0.2892857142857143 0.2624113475177305
0 30 5	0.3568007662835249 0.8652482269503546
0 30 5 26	0.09835207951870259 0.3829787234042553
0 30 8 20	0.3105590062111801 0.09929078014184398
0 30 9	0.004665629860031105 0.014184397163120567
0 30 9 0	0.42952612393681655 0.900709219858156
0 30 9 19	0.12037037037037036 0.2553191489361702
0 30 12	0.002398081534772182 0.0070921985815602835
0 30 18 13	0.2611683848797251 0.41134751773049644
0 30 18 18	0.2551789077212806 0.44680851063829785
0 30 19 9	0.1694915254237288 0.09929078014184398
0 30 25 32	0.13864628820960698 0.18439716312056736
0 30 25 34	0.17876489707475623 0.6099290780141844
0 30 26	0.2 0.3191489361702128
0 30 26 30	0.19397363465160075 0.5673758865248227
0 30 29 27	0.12233009708737864 0.12056737588652482
0 30 30 5	0.2901440618411806 0.5602836879432624
0 30 35	0.18284789644012944 0.3120567375886525
0 30 39 14	0.34834761321909424 0.8014184397163121
0 30 44 26	0.006006006006006006 0.014184397163120567
0 33 4 5	0.2582089552238806 0.22695035460992907
0 33 8	0.4898989898989899 0.6524822695035462
0 33 13	0.18487394957983194 0.09929078014184398
0 33 16 34	0.13466042154566746 0.5957446808510638
0 33 21 30	0.25316455696202533 0.14184397163120568
0 33 27	0.05172413793103448 0.0851063829787234
0 33 30 43	0.14130434782608695 0.22695035460992907
0 33 32 14	0.242513500245459 0.6382978723404256
0 33 33	0.35071090047393366 0.3191489361702128
0 33 35 14	0.02127659574468085 0.04964539007092199
0 33 36 28	0.11838006230529595 0.16312056737588654
0 33 43	0.25 0.09929078014184398
0 34	0.004273504273504274 0.0070921985815602835
0 34 6 3	0.14243542435424356 0.1702127659574468
0 34 9	0.24083769633507854 0.574468085106383
0 34 19 5	0.1643835616438356 0.1347517730496454
0 34 25 1	0.2458001768346596 0.4397163120567376
0 34 31 45	0.4470588235294118 0.1347517730496454
0 34 32	0.11367673179396093 0.28368794326241137
0 34 34	0.0838150289017341 0.10638297872340426
0 36	0.039568345323741004 0.06382978723404255
0 36 3 13	0.2604501607717042 0.2907801418439716
0 36 6 16	0.03480892924706772 0.22695035460992907
0 36 7 34	0.13399778516057587 0.375886524822695
0 36 11	0.33155555555555555 0.7163120567375887
0 36 11 11	0.1484801247077163 0.3971631205673759
0 36 11 30	0.2009695901278096 0.475177304964539
0 36 14 14	0.1898188093183779 0.574468085106383
0 36 16 39	0.05989010989010989 0.3120567375886525
0 36 26 1	0.12763371150729336 0.5390070921985816
0 36 26 15	0.07046979865771812 0.12056737588652482
0 36 28 45	0.4212962962962963 0.23404255319148937
0 36 29 27	0.07220216606498195 0.1773049645390071
0 36 31 3	0.045992115637319315 0.10638297872340426
0 36 36	0.2513812154696133 0.2907801418439716
0 36 36 26	0.11480075901328274 0.24822695035460993
0 36 39 14	0.11682242990654206 0.5815602836879432
0 36 42	0.08096280087527352 0.19858156028368795
0 37 1 25	0.11022044088176353 0.18439716312056736
0 37 3 31	0.05621621621621622 0.2127659574468085
0 37 12	0.39332096474953615 0.6170212765957447
0 37 16 45	0.37681159420289856 0.3191489361702128
0 37 27 41	0.1636029411764706 0.41134751773049644
0 37 28 16	0.1006585136406397 0.3617021276595745
0 37 29 41	0.15780866721177433 0.5106382978723404
0 37 37	0.1724137931034483 0.24113475177304963
0 37 38	0.16666666666666666 0.0070921985815602835
0 38 1 38	0.15093479252165984 0.45390070921985815
0 38 3 30	0.11627906976744186 0.2978723404255319
0 38 5 45	0.42915811088295686 0.3049645390070922
0 38 7 31	0.10052677787532924 0.45390070921985815
0 38 13	0.4487410071942446 0.7730496453900709
0 38 18	0.1479028697571744 0.24113475177304963
0 38 18 30	0.2821512081060016 0.2978723404255319
0 38 20	0.22123893805309736 0.09929078014184398
0 38 25 16	0.12470023980815348 0.5531914893617021
0 38 25 41	0.14296875 0.6879432624113475
0 38 28	0.05945945945945946 0.05673758865248227
0 38 31	0.03943217665615142 0.1347517730496454
0 38 33 40	0.1048780487804878 0.0425531914893617
0 38 38	0.1337579617834395 0.3404255319148936
0 38 39	0.061224489795918366 0.19858156028368795
0 38 42 8	0.32547169811320753 0.20567375886524822
0 38 43 30	0.19805825242718447 0.3404255319148936
0 39 0 18	0.1773967809657103 0.5106382978723404
0 39 0 43	0.170018281535649 0.4397163120567376
0 39 5 38	0.01623119556611243 0.1773049645390071
0 39 5 39	0.054509018036072145 0.375886524822695
0 39 6 35	0.11921778836609093 0.425531914893617
0 39 7 33	0.3326145552560647 0.48936170212765956
0 39 8 9	0.03577817531305903 0.14184397163120568
0 39 9 18	0.250386398763524 0.5319148936170213
0 39 9 27	0.06466512702078522 0.20567375886524822
0 39 9 31	0.036444444444444446 0.3971631205673759
0 39 10 31	0.06804842259721203 0.5886524822695035
0 39 12 14	0.0797872340425532 0.44680851063829785
0 39 14	0.4198680636398913 0.9929078014184397
0 39 16	0.05317710680486706 0.3617021276595745
0 39 16 1	0.16521739130434782 0.7659574468085106
0 39 16 30	0.17880966819717578 0.6312056737588653
0 39 16 34	0.04945616807660128 0.2978723404255319
0 39 18 1	0.06654991243432574 0.2127659574468085
0 39 18 37	0.02192448233861145 0.10638297872340426
0 39 25 20	0.06666666666666667 0.02127659574468085
0 39 27	0.010826771653543307 0.07801418439716312
0 39 28 12	0.07733491969066032 0.41843971631205673
0 39 29 12	0.08295194508009153 0.3971631205673759
0 39 30 13	0.0070898041863605675 0.1276595744680851
0 39 31 0	0.1451990632318501 0.6666666666666666
0 39 31 30	0.11083932120470875 0.46808510638297873
0 39 31 35	0.13750698714365567 0.2624113475177305
0 39 32 3	0.11417147934251444 0.40425531914893614
0 39 33 34	0.1646586345381526 0.5390070921985816
0 39 34 43	0.17794253938832252 0.6737588652482269
0 39 37 43	0.23333333333333334 0.3971631205673759
0 39 38 12	0.05290728129910948 0.0851063829787234
0 39 39 9	0.041404805914972274 0.2127659574468085
0 39 41	0.1486404833836858 0.8014184397163121
0 40 13 18	0.07851239669421488 0.05673758865248227
0 40 15	0.3286219081272085 0.2695035460992908
0 40 16 39	0.07407407407407407 0.09219858156028368
0 40 40	0.13821138211382114 0.05673758865248227
0 40 48 33	0.53125 0.05673758865248227
0 41 3 0	0.3844086021505376 0.8014184397163121
0 41 5 41	0.1297709923664122 0.5390070921985816
0 41 14	0.15265200517464425 0.3829787234042553
0 41 16	0.2523002421307506 0.900709219858156
0 41 16 30	0.15709351413585776 0.7588652482269503
0 41 18 0	0.34146341463414637 0.6312056737588653
0 41 25 38	0.1105092091007584 0.3049645390070922
0 41 26 41	0.1641130405175349 0.7092198581560284
0 41 27 9	0.125 0.11347517730496454
0 41 28 37	0.047493403693931395 0.12056737588652482
0 41 30 16	0.11864984657347426 0.5319148936170213
0 41 31	0.14166666666666666 0.49645390070921985
0 41 31 9	0.01870503597122302 0.14893617021276595
0 41 31 11	0.07066381156316917 0.28368794326241137
0 41 33 0	0.3530895334174023 0.5957446808510638
0 41 33 37	0.06796116504854369 0.1773049645390071
0 41 39	0.09903593339176162 0.41843971631205673
0 41 45 34	0.16993464052287582 0.3546099290780142
0 42 25 9	0.13142857142857142 0.04964539007092199
0 42 26	0.21568627450980393 0.07801418439716312
0 42 36 36	0.08292682926829269 0.04964539007092199
0 43 0 16	0.08002783576896312 0.3049645390070922
0 43 5 43	0.30053763440860215 0.48226950354609927
0 43 9 14	0.1974900924702774 0.7730496453900709
0 43 9 41	0.12369151890621662 0.7021276595744681
0 43 13	0.12181818181818181 0.23404255319148937
0 43 14	0.02857142857142857 0.09929078014184398
0 43 15 8	0.08828522920203735 0.2978723404255319
0 43 16 9	0.10168195718654434 0.28368794326241137
0 43 16 12	0.08455666470933647 0.3829787234042553
0 43 16 32	0.07730851825340014 0.22695035460992907
0 43 18	0.44600526777875327 0.8085106382978723
0 43 18 1	0.3236994219653179 0.5460992907801419
0 43 18 5	0.11786737166776823 0.49645390070921985
0 43 26 13	0.17895545314900155 0.2198581560283688
0 43 28 1	0.26850828729281767 0.45390070921985815
0 43 28 11	0.17049808429118773 0.3546099290780142
0 43 30 8	0.04047294224647567 0.24822695035460993
0 43 31 0	0.32197728790915164 0.6382978723404256
0 43 31 12	0.057487579843860895 0.2695035460992908
0 43 32 31	0.07898658718330849 0.2695035460992908
0 43 34 31	0.06055851898336994 0.475177304964539
0 43 34 41	0.14220674879485806 0.5673758865248227
0 43 35 3	0.19862340216322516 0.2695035460992908
0 43 38	0.07205240174672489 0.1773049645390071
0 43 39 26	0.020138089758342925 0.1276595744680851
0 43 41 34	0.1945837512537613 0.6524822695035462
0 43 42	0.031413612565445025 0.0425531914893617
0 43 43	0.3094890510948905 0.5177304964539007
0 43 45	0.4098360655737705 0.2127659574468085
0 43 45 11	0.1375 0.10638297872340426
0 44 0	0.23026315789473684 0.20567375886524822
0 44 1 44	0.2403846153846154 0.10638297872340426
0 44 9 42	0.10150375939849623 0.20567375886524822
0 44 19	0.6666666666666666 0.45390070921985815
0 44 25	0.033210332103321034 0.05673758865248227
0 44 25 42	0.10762331838565023 0.19858156028368795
0 44 26 12	0.07462686567164178 0.1276595744680851
0 45 3	0.04929577464788732 0.04964539007092199
0 45 5 27	0.1062992125984252 0.10638297872340426
0 45 8 17	0.08461538461538462 0.09219858156028368
0 45 18	0.09871244635193133 0.10638297872340426
0 45 20	0.5858585858585859 0.425531914893617
0 45 26 14	0.034545454545454546 0.06382978723404255
0 45 28	0.07103825136612021 0.05673758865248227
0 45 40 18	0.1590909090909091 0.03546099290780142
0 45 43	0.11551155115511551 0.14893617021276595
0 45 45	0.5578947368421052 0.2907801418439716
1 0	0.28061224489795916 0.28368794326241137
1 0 1	0.31797235023041476 0.24113475177304963
1 0 2 13	0.15463917525773196 0.1276595744680851
1 0 5	0.09819639278557114 0.24822695035460993
1 0 14 16	0.06590621039290241 0.2695035460992908
1 0 17 1	0.10330578512396695 0.1773049645390071
1 0 18 43	0.19120725750174458 0.3546099290780142
1 0 25 9	0.024559777571825765 0.10638297872340426
1 0 25 19	0.1162303664921466 0.19858156028368795
1 0 25 44	0.0412621359223301 0.0851063829787234
1 0 26	0.1248630887185104 0.28368794326241137
1 0 26 30	0.1065344520722095 0.3971631205673759
1 0 30	0.19331742243436753 0.19148936170212766
1 0 34 32	0.04954954954954955 0.0851063829787234
1 0 39 14	0.2252922422954304 0.5602836879432624
1 0 41 14	0.14163090128755365 0.2695035460992908
1 1	0.013793103448275862 0.014184397163120567
1 1 0	0.2880658436213992 0.2553191489361702
1 1 9	0.03825136612021858 0.06382978723404255
1 1 34	0.13636363636363635 0.24113475177304963
1 1 36 34	0.1026694045174538 0.2765957446808511
1 1 38 41	0.10068365444375388 0.3262411347517731
1 1 39 16	0.013846819558632626 0.07092198581560284
1 2 1 41	0.09518716577540107 0.2624113475177305
1 2 5 16	0.04194857916102842 0.12056737588652482
1 2 6 1	0.1782608695652174 0.22695035460992907
1 2 7 18	0.175 0.15602836879432624
1 2 14	0.22023809523809523 0.3049645390070922
1 2 14 11	0.05921052631578947 0.12056737588652482
1 2 16	0.031496062992125984 0.07801418439716312
1 2 33 19	0.2033898305084746 0.06382978723404255
1 2 41	0.1410488245931284 0.2695035460992908
1 3 6 11	0.055944055944055944 0.09219858156028368
1 3 7 8	0.1891891891891892 0.12056737588652482
1 3 8 19	0.2523364485981308 0.0851063829787234
1 3 14	0.14492753623188406 0.1773049645390071
1 3 16	0.08035714285714286 0.14893617021276595
1 3 18 37	0.08 0.0070921985815602835
1 3 39 11	0.1044776119402985 0.06382978723404255
1 3 41	0.08356545961002786 0.19858156028368795
